Timestamp_s,Latitude_deg,Longitude_deg,Altitude_ft,Airspeed_kts,ClimbRate_fpm,Pitch_deg,Roll_deg,Heading_deg,Ctrl_Pitch_Ratio,Ctrl_Roll_Ratio,Ctrl_Yaw_Ratio,Collective_deg,Engine_Torque_Nm
0.0,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.052,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.101,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.151,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.201,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.252,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.301,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.35,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.402,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.452,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.501,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.552,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.602,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.652,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.701,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.752,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.802,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.851,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.901,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
0.952,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.001,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.051,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.102,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.15,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.202,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.25,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.301,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.351,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.402,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.451,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.501,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.552,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.601,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.65,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.701,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.75,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.801,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.852,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.901,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
1.952,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.001,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.052,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.101,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.152,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.201,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.252,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.302,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.35,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.402,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.45,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.502,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.55,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.6,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.652,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.7,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.75,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.802,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.851,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.902,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
2.95,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.0,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.052,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.101,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.152,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.202,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.252,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.302,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.351,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.402,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.451,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.502,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.552,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.601,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.65,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.7,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.752,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.802,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.851,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.901,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
3.951,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
4.001,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
4.052,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
4.101,-34.554,-58.42500001004801,4500.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,4.0,0.0
