Timestamp_s,Latitude_deg,Longitude_deg,Altitude_ft,Airspeed_kts,ClimbRate_fpm,Pitch_deg,Roll_deg,Heading_deg,Ctrl_Pitch_Ratio,Ctrl_Roll_Ratio,Ctrl_Yaw_Ratio,Collective_deg,Engine_Torque_Nm
0.0,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.052,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.102,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.15,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.201,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.252,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.302,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.352,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.401,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.452,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.502,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.551,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.601,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
0.652,-34.554,-58.42500001004801,10000.0,50.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
