tiempo_s,airspeed_kts,altitud_ft,climb_rate_fpm,pitch_deg,roll_deg,heading_deg,collective_deg,pitch_cmd,roll_cmd,yaw_cmd,torque,prop_ratio,peso_fijo_kg,combustible_kg,CG
0.02,0.89,4425.4,-2688.8,-2.634,6.473,7.9,-4.0,-0.7,-0.0523,-0.0053,1.75,352.5746765136719,0.23284053802490234,345.637451171875,87.6865234375,-0.044131550937891006
0.05,0.92,4424.3,-2708.7,-2.674,6.558,8.0,1.75,-0.7,-0.0533,-0.0163,7.5,304.7418518066406,0.4243590235710144,345.637451171875,87.6865234375,-0.044131550937891006
0.07,0.95,4423.2,-2666.3,-2.717,6.612,8.2,7.5,-0.7,-0.054,-0.0213,11.0,259.634033203125,0.6159399747848511,345.637451171875,87.6865234375,-0.044131550937891006
0.1,0.98,4422.2,-2604.0,-2.772,6.609,8.3,11.0,-0.7,-0.0543,-0.0256,11.0,320.4588317871094,0.7330422401428223,345.637451171875,87.6865234375,-0.044131550937891006
0.12,1.01,4421.1,-2521.7,-2.869,6.522,8.4,11.0,-0.7,-0.054,-0.0312,11.0,401.3590087890625,0.7354340553283691,345.637451171875,87.6865234375,-0.044131550937891006
0.15,1.04,4420.1,-2446.5,-3.011,6.353,8.6,11.0,-0.7,-0.053,-0.0394,11.0,500.54510498046875,0.738201379776001,345.637451171875,87.6865234375,-0.044131550937891006
0.17,1.08,4419.0,-2371.6,-3.217,6.116,8.8,11.0,-0.7,-0.0514,-0.0487,11.0,610.3347778320312,0.743463933467865,345.637451171875,87.6865234375,-0.044131550937891006
0.22,1.15,4417.3,-2242.0,-3.726,5.663,9.2,11.0,-0.7,-0.0482,-0.0665,11.0,823.3826904296875,0.7553139328956604,345.637451171875,87.6865234375,-0.044131550937891006
0.24,1.18,4416.5,-2179.3,-4.053,5.479,9.3,11.0,-0.7,-0.047,-0.0704,11.0,929.9985961914062,0.7593779563903809,345.637451171875,87.6865234375,-0.044131550937891006
0.27,1.23,4415.6,-2114.7,-4.451,5.347,9.5,11.0,-0.7,-0.0462,-0.0767,11.0,1048.5394287109375,0.7589843273162842,345.637451171875,87.6865234375,-0.044131550937891006
0.29,1.28,4414.8,-2052.0,-4.912,5.3,9.7,11.0,-0.7,-0.0461,-0.0843,11.0,1179.6434326171875,0.7634164094924927,345.637451171875,87.6865234375,-0.044131550937891006
0.32,1.33,4414.0,-1996.6,-5.373,5.335,9.8,11.0,-0.7,-0.0466,-0.0897,11.0,1311.339599609375,0.7631723880767822,345.637451171875,87.6865234375,-0.044131550937891006
0.34,1.38,4413.2,-1943.2,-5.887,5.438,10.0,11.0,-0.7,-0.0477,-0.0975,11.0,1454.703369140625,0.7638074159622192,345.637451171875,87.6865234375,-0.044131550937891006
0.36,1.44,4412.4,-1894.7,-6.428,5.578,10.2,11.0,-0.7,-0.0491,-0.1054,11.0,1607.6805419921875,0.7655446529388428,345.637451171875,87.6865234375,-0.044131550937891006
0.39,1.51,4411.6,-1849.6,-7.0,5.728,10.4,11.0,-0.7,-0.0506,-0.1149,11.0,1773.64599609375,0.7675539255142212,345.637451171875,87.6865234375,-0.044131550937891006
0.41,1.58,4410.8,-1810.6,-7.558,5.855,10.6,11.0,-0.7,-0.0519,-0.124,11.0,1943.509033203125,0.7708321809768677,345.637451171875,87.6865234375,-0.044131550937891006
0.44,1.65,4410.1,-1774.8,-8.126,5.952,10.9,11.0,-0.7,-0.053,-0.1336,11.0,2123.41845703125,0.7746490240097046,345.637451171875,87.6865234375,-0.044131550937891006
0.46,1.74,4409.3,-1740.5,-8.724,6.014,11.1,11.0,-0.7,-0.0538,-0.1433,11.0,2321.81982421875,0.7784546613693237,345.637451171875,87.6865234375,-0.044131550937891006
0.49,1.82,4408.6,-1710.9,-9.284,6.034,11.3,11.0,-0.7,-0.0543,-0.1521,11.0,2522.072265625,0.7815989255905151,345.637451171875,87.6865234375,-0.044131550937891006
0.52,1.91,4407.9,-1684.0,-9.836,6.025,11.5,11.0,-0.7,-0.0545,-0.1592,11.0,2731.875244140625,0.7848629951477051,345.637451171875,87.6865234375,-0.044131550937891006
0.54,2.01,4407.2,-1657.5,-10.416,5.996,11.8,11.0,-0.7,-0.0546,-0.1684,11.0,2965.994873046875,0.7878618240356445,345.637451171875,87.6865234375,-0.044131550937891006
0.57,2.12,4406.5,-1633.0,-10.983,5.959,12.0,11.0,-0.7,-0.0546,-0.1768,11.0,3213.8388671875,0.790368914604187,345.637451171875,87.67076110839844,-0.04413396865129471
0.59,2.23,4405.8,-1610.1,-11.54,5.925,12.2,11.0,-0.7,-0.0546,-0.1854,11.0,3477.630126953125,0.7949325442314148,345.637451171875,87.67076110839844,-0.04413420706987381
0.62,2.35,4405.1,-1588.5,-12.093,5.902,12.4,11.0,-0.7,-0.0548,-0.1944,11.0,3760.8544921875,0.7954870462417603,345.637451171875,87.67076110839844,-0.04413420706987381
0.65,2.48,4404.4,-1567.9,-12.636,5.891,12.7,11.0,-0.7,-0.055,-0.2062,11.0,4063.27734375,0.7984021902084351,345.637451171875,87.67076110839844,-0.04413420706987381
0.67,2.6,4403.7,-1548.4,-13.16,5.894,12.9,11.0,-0.7,-0.0553,-0.218,11.0,4381.22900390625,0.8019108772277832,345.637451171875,87.67076110839844,-0.04413420706987381
0.7,2.73,4403.1,-1530.5,-13.647,5.912,13.2,11.0,-0.7,-0.0558,-0.2294,11.0,4703.85693359375,0.8054828643798828,345.637451171875,87.67076110839844,-0.04413420706987381
0.72,2.87,4402.4,-1512.1,-14.145,5.949,13.5,11.0,-0.7,-0.0564,-0.2421,11.0,5061.11572265625,0.8095173835754395,345.637451171875,87.67076110839844,-0.04413420706987381
0.75,3.01,4401.8,-1494.7,-14.611,6.001,13.8,11.0,-0.7,-0.0571,-0.2565,11.0,5428.544921875,0.8132545948028564,345.637451171875,87.67076110839844,-0.04413420706987381
0.77,3.15,4401.1,-1476.8,-15.078,6.067,14.2,11.0,-0.7,-0.0579,-0.2707,11.0,5829.4716796875,0.81689453125,345.637451171875,87.67076110839844,-0.04413420706987381
0.8,3.3,4400.5,-1460.4,-15.517,6.139,14.5,11.0,-0.7,-0.0588,-0.2857,11.0,6243.09619140625,0.8207948207855225,345.637451171875,87.67076110839844,-0.04413420706987381
0.83,3.45,4399.9,-1444.1,-15.945,6.216,14.9,11.0,-0.7,-0.0597,-0.3003,11.0,6684.84521484375,0.8251245617866516,345.637451171875,87.67076110839844,-0.04413420706987381
0.85,3.61,4399.3,-1428.1,-16.363,6.295,15.3,11.0,-0.7,-0.0607,-0.3177,11.0,7157.40478515625,0.8293207883834839,345.637451171875,87.67076110839844,-0.04413420706987381
0.88,3.77,4398.7,-1411.6,-16.781,6.376,15.7,11.0,-0.7,-0.0617,-0.3352,11.0,7677.91748046875,0.8336256146430969,345.637451171875,87.67076110839844,-0.04413420706987381
